"Date Time, GMT -0700","Temp, (*F)",Button Down,Button Up,Host Connect,EOF
3/11/20 13:30,75.84, , , , 
3/11/20 13:40,75.01, , , , 
3/11/20 13:50,74.31, , , , 
3/11/20 14:00,74.2, , , , 
3/11/20 14:10,74.23, , , , 
3/11/20 14:20,74.16, , , , 
3/11/20 14:30,74.04, , , , 
3/11/20 14:40,74.06, , , , 
3/11/20 14:50,74.06, , , , 
3/11/20 15:00,74.04, , , , 
3/11/20 15:10,74.33, , , , 
3/11/20 15:20,80.1, , , , 
3/11/20 15:30,82.67, , , , 
3/11/20 15:40,84.27, , , , 
3/11/20 15:50,83.69, , , , 
3/11/20 16:00,83.75, , , , 
3/11/20 16:10,84.33, , , , 
3/11/20 16:20,78.93, , , , 
3/11/20 16:30,75.1, , , , 
3/11/20 16:40,73.19, , , , 
3/11/20 16:50,72.5, , , , 
3/11/20 17:00,65.84, , , , 
3/11/20 17:10,65.18, , , , 
3/11/20 17:20,64.66, , , , 
3/11/20 17:30,64.35, , , , 
3/11/20 17:40,63.96, , , , 
3/11/20 17:50,63.73, , , , 
3/11/20 18:00,63.5, , , , 
3/11/20 18:10,63.21, , , , 
3/11/20 18:20,63.02, , , , 
3/11/20 18:30,62.79, , , , 
3/11/20 18:40,62.5, , , , 
3/11/20 18:50,62.17, , , , 
3/11/20 19:00,61.86, , , , 
3/11/20 19:10,61.63, , , , 
3/11/20 19:20,61.4, , , , 
3/11/20 19:30,61.18, , , , 
3/11/20 19:40,60.97, , , , 
3/11/20 19:50,60.95, , , , 
3/11/20 20:00,60.7, , , , 
3/11/20 20:10,60.53, , , , 
3/11/20 20:20,60.43, , , , 
3/11/20 20:30,60.3, , , , 
3/11/20 20:40,60.06, , , , 
3/11/20 20:50,60.01, , , , 
3/11/20 21:00,60.35, , , , 
3/11/20 21:10,60.22, , , , 
3/11/20 21:20,59.99, , , , 
3/11/20 21:30,60.3, , , , 
3/11/20 21:40,60.47, , , , 
3/11/20 21:50,60.76, , , , 
3/11/20 22:00,60.49, , , , 
3/11/20 22:10,60.59, , , , 
3/11/20 22:20,60.41, , , , 
3/11/20 22:30,60.74, , , , 
3/11/20 22:40,60.64, , , , 
3/11/20 22:50,60.7, , , , 
3/11/20 23:00,60.7, , , , 
3/11/20 23:10,60.61, , , , 
3/11/20 23:20,60.55, , , , 
3/11/20 23:30,60.45, , , , 
3/11/20 23:40,60.62, , , , 
